cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 2, 0, 0, 0, 0
2, 1, 0, 2, 0, 0, 0, 0
3, 0, 2, 1, 0, 0, 2, 0.666667
4, 1, 1, 0, 0, 0, 3, 0.75
5, 1, 2, 0, 0, 0, 5, 1
6, 1, 2, 2, 0, 0, 7, 1.16667
7, 0, 2, 2, 0, 0, 9, 1.28571
8, 1, 0, 2, 0, 0, 9, 1.125
9, 2, 1, 0, 0, 0, 10, 1.11111
10, 2, 0, 2, 0, 0, 10, 1
11, 2, 1, 2, 0, 0, 11, 1
12, 1, 0, 2, 0, 0, 11, 0.916667
13, 1, 0, 1, 0, 0, 11, 0.846154
14, 1, 1, 0, 0, 0, 12, 0.857143
15, 0, 1, 2, 0, 0, 13, 0.866667
16, 1, 0, 2, 0, 0, 13, 0.8125
17, 2, 1, 0, 0, 0, 14, 0.823529
18, 1, 2, 2, 0, 0, 16, 0.888889
19, 2, 1, 2, 0, 0, 17, 0.894737
20, 0, 2, 1, 0, 0, 19, 0.95
21, 1, 1, 2, 0, 0, 20, 0.952381
22, 1, 0, 0, 0, 0, 20, 0.909091
23, 0, 1, 1, 0, 0, 21, 0.913043
24, 2, 2, 2, 0, 0, 23, 0.958333
25, 1, 0, 0, 0, 0, 23, 0.92
26, 1, 2, 2, 0, 0, 25, 0.961538
27, 1, 0, 0, 0, 0, 25, 0.925926
28, 0, 1, 1, 0, 0, 26, 0.928571
29, 2, 2, 2, 0, 0, 28, 0.965517
30, 0, 2, 1, 0, 0, 30, 1
31, 1, 1, 0, 0, 0, 31, 1
32, 1, 2, 1, 0, 0, 33, 1.03125
33, 2, 2, 1, 0, 0, 35, 1.06061
34, 2, 2, 1, 0, 0, 37, 1.08824
35, 2, 2, 0, 0, 0, 39, 1.11429
36, 0, 1, 2, 0, 0, 40, 1.11111
37, 0, 2, 2, 0, 0, 42, 1.13514
38, 1, 0, 2, 0, 0, 42, 1.10526
39, 2, 1, 1, 0, 0, 43, 1.10256
40, 1, 1, 0, 0, 0, 44, 1.1
41, 1, 2, 0, 0, 0, 46, 1.12195
42, 2, 0, 2, 0, 0, 46, 1.09524
43, 2, 1, 0, 0, 0, 47, 1.09302
44, 1, 2, 2, 0, 0, 49, 1.11364
45, 1, 0, 2, 0, 0, 49, 1.08889
46, 1, 0, 0, 0, 0, 49, 1.06522
47, 0, 1, 0, 0, 0, 50, 1.06383
48, 1, 2, 0, 0, 0, 52, 1.08333
49, 2, 0, 2, 0, 0, 52, 1.06122
50, 2, 1, 2, 0, 0, 53, 1.06
51, 2, 1, 0, 0, 0, 54, 1.05882
52, 2, 0, 2, 0, 0, 54, 1.03846
53, 2, 1, 0, 0, 0, 55, 1.03774
54, 2, 0, 2, 0, 0, 55, 1.01852
55, 2, 1, 0, 0, 0, 56, 1.01818
56, 1, 2, 1, 0, 0, 58, 1.03571
57, 0, 0, 0, 0, 0, 58, 1.01754
58, 0, 1, 0, 0, 0, 59, 1.01724
59, 0, 1, 0, 0, 0, 60, 1.01695
60, 2, 0, 0, 0, 0, 60, 1
61, 2, 0, 2, 0, 0, 60, 0.983607
62, 2, 1, 0, 0, 0, 61, 0.983871
63, 2, 0, 0, 0, 0, 61, 0.968254
64, 2, 0, 2, 0, 0, 61, 0.953125
65, 2, 1, 0, 0, 0, 62, 0.953846
66, 2, 0, 0, 0, 0, 62, 0.939394
67, 2, 0, 2, 0, 0, 62, 0.925373
68, 2, 1, 0, 0, 0, 63, 0.926471
69, 1, 2, 1, 0, 0, 65, 0.942029
70, 0, 0, 2, 0, 0, 65, 0.928571
71, 1, 0, 2, 0, 0, 65, 0.915493
72, 2, 1, 1, 0, 0, 66, 0.916667
73, 2, 2, 1, 0, 0, 68, 0.931507
74, 0, 0, 0, 0, 0, 68, 0.918919
75, 2, 0, 2, 0, 0, 68, 0.906667
76, 2, 1, 1, 0, 0, 69, 0.907895
77, 0, 0, 2, 0, 0, 69, 0.896104
78, 2, 1, 0, 0, 0, 70, 0.897436
79, 0, 1, 0, 0, 0, 71, 0.898734
80, 2, 0, 2, 0, 0, 71, 0.8875
81, 2, 1, 0, 0, 0, 72, 0.888889
82, 1, 2, 1, 0, 0, 74, 0.902439
83, 2, 2, 1, 0, 0, 76, 0.915663
84, 2, 2, 2, 0, 0, 78, 0.928571
85, 1, 0, 0, 0, 0, 78, 0.917647
86, 0, 1, 0, 0, 0, 79, 0.918605
87, 2, 0, 2, 0, 0, 79, 0.908046
88, 2, 1, 1, 0, 0, 80, 0.909091
89, 2, 2, 1, 0, 0, 82, 0.921348
90, 0, 0, 0, 0, 0, 82, 0.911111
91, 2, 0, 2, 0, 0, 82, 0.901099
92, 2, 1, 1, 0, 0, 83, 0.902174
93, 2, 2, 0, 0, 0, 85, 0.913978
94, 1, 2, 1, 0, 0, 87, 0.925532
95, 0, 0, 2, 0, 0, 87, 0.915789
96, 2, 1, 1, 0, 0, 88, 0.916667
97, 2, 2, 0, 0, 0, 90, 0.927835
98, 1, 2, 2, 0, 0, 92, 0.938776
99, 2, 1, 1, 0, 0, 93, 0.939394
100, 1, 1, 2, 0, 0, 94, 0.94
101, 0, 2, 1, 0, 0, 96, 0.950495
102, 0, 0, 2, 0, 0, 96, 0.941176
103, 2, 1, 1, 0, 0, 97, 0.941748
104, 1, 1, 2, 0, 0, 98, 0.942308
105, 0, 2, 0, 0, 0, 100, 0.952381
106, 2, 0, 2, 0, 0, 100, 0.943396
107, 2, 1, 1, 0, 0, 101, 0.943925
108, 1, 1, 2, 0, 0, 102, 0.944444
109, 2, 1, 1, 0, 0, 103, 0.944954
110, 1, 1, 0, 0, 0, 104, 0.945455
111, 2, 0, 2, 0, 0, 104, 0.936937
112, 2, 1, 1, 0, 0, 105, 0.9375
113, 1, 1, 2, 0, 0, 106, 0.938053
114, 2, 1, 1, 0, 0, 107, 0.938596
115, 1, 1, 0, 0, 0, 108, 0.93913
116, 2, 0, 0, 0, 0, 108, 0.931034
117, 2, 0, 2, 0, 0, 108, 0.923077
118, 2, 1, 2, 0, 0, 109, 0.923729
119, 2, 1, 1, 0, 0, 110, 0.92437
120, 0, 0, 2, 0, 0, 110, 0.916667
121, 1, 0, 0, 0, 0, 110, 0.909091
122, 0, 1, 0, 0, 0, 111, 0.909836
123, 0, 1, 0, 0, 0, 112, 0.910569
124, 0, 1, 0, 0, 0, 113, 0.91129
125, 1, 2, 0, 0, 0, 115, 0.92
126, 2, 0, 2, 0, 0, 115, 0.912698
127, 2, 1, 1, 0, 0, 116, 0.913386
128, 2, 2, 0, 0, 0, 118, 0.921875
129, 1, 2, 1, 0, 0, 120, 0.930233
130, 0, 0, 0, 0, 0, 120, 0.923077
131, 0, 1, 0, 0, 0, 121, 0.923664
132, 2, 0, 2, 0, 0, 121, 0.916667
133, 2, 1, 1, 0, 0, 122, 0.917293
134, 1, 1, 1, 0, 0, 123, 0.91791
135, 2, 2, 0, 0, 0, 125, 0.925926
136, 0, 1, 0, 0, 0, 126, 0.926471
137, 2, 0, 2, 0, 0, 126, 0.919708
138, 2, 1, 1, 0, 0, 127, 0.92029
139, 1, 1, 2, 0, 0, 128, 0.920863
140, 0, 2, 0, 0, 0, 130, 0.928571
141, 2, 0, 2, 0, 0, 130, 0.921986
142, 2, 1, 1, 0, 0, 131, 0.922535
143, 2, 2, 0, 0, 0, 133, 0.93007
144, 2, 0, 2, 0, 0, 133, 0.923611
145, 2, 1, 0, 0, 0, 134, 0.924138
146, 1, 2, 1, 0, 0, 136, 0.931507
147, 0, 0, 0, 0, 0, 136, 0.92517
148, 0, 1, 0, 0, 0, 137, 0.925676
149, 2, 0, 2, 0, 0, 137, 0.919463
150, 2, 1, 1, 0, 0, 138, 0.92
151, 1, 1, 2, 0, 0, 139, 0.92053
152, 0, 2, 0, 0, 0, 141, 0.927632
153, 1, 2, 1, 0, 0, 143, 0.934641
154, 0, 0, 0, 0, 0, 143, 0.928571
155, 1, 2, 1, 0, 0, 145, 0.935484
156, 2, 2, 1, 0, 0, 147, 0.942308
157, 2, 2, 1, 0, 0, 149, 0.949045
158, 2, 2, 1, 0, 0, 151, 0.955696
159, 0, 0, 0, 0, 0, 151, 0.949686
160, 1, 2, 1, 0, 0, 153, 0.95625
161, 2, 2, 1, 0, 0, 155, 0.962733
162, 1, 1, 2, 0, 0, 156, 0.962963
163, 2, 1, 0, 0, 0, 157, 0.96319
164, 1, 2, 0, 0, 0, 159, 0.969512
165, 1, 2, 1, 0, 0, 161, 0.975758
166, 2, 2, 0, 0, 0, 163, 0.981928
167, 0, 1, 0, 0, 0, 164, 0.982036
168, 0, 1, 0, 0, 0, 165, 0.982143
169, 2, 0, 2, 0, 0, 165, 0.976331
170, 2, 1, 1, 0, 0, 166, 0.976471
171, 2, 2, 2, 0, 0, 168, 0.982456
172, 1, 0, 0, 0, 0, 168, 0.976744
173, 0, 1, 2, 0, 0, 169, 0.976879
174, 2, 1, 1, 0, 0, 170, 0.977011
175, 2, 2, 1, 0, 0, 172, 0.982857
176, 0, 0, 0, 0, 0, 172, 0.977273
177, 1, 2, 1, 0, 0, 174, 0.983051
178, 1, 1, 2, 0, 0, 175, 0.983146
179, 1, 0, 0, 0, 0, 175, 0.977654
180, 1, 2, 1, 0, 0, 177, 0.983333
181, 0, 0, 0, 0, 0, 177, 0.977901
182, 2, 0, 2, 0, 0, 177, 0.972527
183, 2, 1, 1, 0, 0, 178, 0.972678
184, 2, 2, 0, 0, 0, 180, 0.978261
185, 2, 0, 1, 0, 0, 180, 0.972973
186, 2, 2, 0, 0, 0, 182, 0.978495
187, 0, 1, 1, 0, 0, 183, 0.97861
188, 0, 0, 0, 0, 0, 183, 0.973404
189, 2, 0, 2, 0, 0, 183, 0.968254
190, 2, 1, 1, 0, 0, 184, 0.968421
191, 1, 1, 1, 0, 0, 185, 0.968586
192, 2, 2, 0, 0, 0, 187, 0.973958
