cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 0, 0.2, 0, 0
2, 0, 0, 1, 0, 0.1998, 0, 0
3, 0, 0, 1, 0, 0.1996, 0, 0
4, 1, 1, 1, 0, 0.199401, 1, 0.25
5, 0, 0, 1, 0, 0.199201, 1, 0.2
6, 1, 1, 1, 0, 0.199002, 2, 0.333333
7, 0, 0, 1, 0, 0.198803, 2, 0.285714
8, 1, 1, 1, 0, 0.198604, 3, 0.375
9, 1, 1, 1, 0, 0.198406, 4, 0.444444
10, 0, 0, 1, 0, 0.198207, 4, 0.4
11, 0, 0, 0, 1, 0.198009, 4, 0.363636
12, 0, 1, 1, 0, 0.197811, 5, 0.416667
13, 1, 1, 1, 0, 0.197613, 6, 0.461538
14, 0, 0, 1, 0, 0.197416, 6, 0.428571
15, 0, 0, 1, 0, 0.197218, 6, 0.4
16, 1, 1, 1, 0, 0.197021, 7, 0.4375
17, 0, 0, 1, 0, 0.196824, 7, 0.411765
18, 0, 0, 0, 1, 0.196627, 7, 0.388889
19, 0, 1, 1, 1, 0.19643, 8, 0.421053
20, 0, 0, 1, 0, 0.196234, 8, 0.4
21, 0, 0, 0, 0, 0.196038, 8, 0.380952
22, 0, 1, 0, 0, 0.195842, 9, 0.409091
23, 0, 1, 1, 1, 0.195646, 10, 0.434783
24, 1, 1, 0, 0, 0.19545, 11, 0.458333
25, 0, 1, 0, 0, 0.195255, 12, 0.48
26, 0, 1, 1, 1, 0.19506, 13, 0.5
27, 1, 1, 0, 1, 0.194864, 14, 0.518519
28, 0, 1, 1, 1, 0.19467, 15, 0.535714
29, 0, 0, 0, 0, 0.194475, 15, 0.517241
30, 0, 1, 0, 0, 0.19428, 16, 0.533333
31, 0, 1, 0, 0, 0.194086, 17, 0.548387
32, 1, 0, 1, 1, 0.193892, 17, 0.53125
33, 0, 0, 0, 0, 0.193698, 17, 0.515152
34, 0, 1, 0, 1, 0.193505, 18, 0.529412
35, 0, 1, 0, 0, 0.193311, 19, 0.542857
36, 0, 1, 0, 0, 0.193118, 20, 0.555556
37, 0, 1, 0, 0, 0.192925, 21, 0.567568
38, 0, 1, 0, 0, 0.192732, 22, 0.578947
39, 0, 1, 0, 0, 0.192539, 23, 0.589744
40, 1, 0, 1, 0, 0.192346, 23, 0.575
41, 0, 0, 0, 0, 0.192154, 23, 0.560976
42, 0, 1, 0, 1, 0.191962, 24, 0.571429
43, 0, 1, 0, 0, 0.19177, 25, 0.581395
44, 0, 1, 0, 0, 0.191578, 26, 0.590909
45, 0, 1, 0, 0, 0.191387, 27, 0.6
46, 0, 1, 0, 0, 0.191195, 28, 0.608696
47, 0, 1, 0, 0, 0.191004, 29, 0.617021
48, 0, 1, 0, 0, 0.190813, 30, 0.625
49, 0, 1, 0, 0, 0.190622, 31, 0.632653
50, 1, 0, 0, 1, 0.190432, 31, 0.62
51, 0, 1, 0, 0, 0.190241, 32, 0.627451
52, 0, 1, 0, 0, 0.190051, 33, 0.634615
53, 0, 1, 0, 0, 0.189861, 34, 0.641509
54, 0, 1, 0, 0, 0.189671, 35, 0.648148
55, 1, 0, 1, 0, 0.189481, 35, 0.636364
56, 0, 0, 0, 0, 0.189292, 35, 0.625
57, 0, 1, 0, 0, 0.189103, 36, 0.631579
58, 0, 1, 0, 0, 0.188913, 37, 0.637931
59, 0, 1, 0, 0, 0.188725, 38, 0.644068
60, 0, 1, 0, 0, 0.188536, 39, 0.65
61, 1, 0, 1, 0, 0.188347, 39, 0.639344
62, 0, 0, 0, 0, 0.188159, 39, 0.629032
63, 0, 1, 1, 1, 0.187971, 40, 0.634921
64, 0, 0, 0, 0, 0.187783, 40, 0.625
65, 1, 0, 1, 0, 0.187595, 40, 0.615385
66, 0, 0, 1, 1, 0.187407, 40, 0.606061
67, 1, 1, 0, 0, 0.18722, 41, 0.61194
68, 0, 1, 0, 0, 0.187033, 42, 0.617647
69, 0, 1, 0, 0, 0.186846, 43, 0.623188
70, 0, 1, 0, 0, 0.186659, 44, 0.628571
71, 0, 1, 0, 0, 0.186472, 45, 0.633803
72, 0, 1, 0, 0, 0.186286, 46, 0.638889
73, 0, 1, 0, 0, 0.186099, 47, 0.643836
74, 1, 0, 1, 0, 0.185913, 47, 0.635135
75, 0, 0, 0, 0, 0.185727, 47, 0.626667
76, 0, 1, 0, 0, 0.185542, 48, 0.631579
77, 0, 1, 0, 0, 0.185356, 49, 0.636364
78, 0, 1, 0, 0, 0.185171, 50, 0.641026
79, 0, 1, 0, 0, 0.184986, 51, 0.64557
80, 1, 0, 0, 0, 0.184801, 51, 0.6375
81, 1, 0, 1, 0, 0.184616, 51, 0.62963
82, 0, 0, 0, 0, 0.184431, 51, 0.621951
83, 0, 1, 0, 0, 0.184247, 52, 0.626506
84, 0, 1, 0, 0, 0.184063, 53, 0.630952
85, 0, 1, 0, 0, 0.183879, 54, 0.635294
86, 0, 1, 0, 0, 0.183695, 55, 0.639535
87, 0, 1, 0, 0, 0.183511, 56, 0.643678
88, 0, 1, 0, 0, 0.183327, 57, 0.647727
89, 0, 1, 0, 0, 0.183144, 58, 0.651685
90, 0, 1, 1, 1, 0.182961, 59, 0.655556
91, 0, 0, 0, 0, 0.182778, 59, 0.648352
92, 0, 1, 0, 0, 0.182595, 60, 0.652174
93, 0, 1, 0, 1, 0.182413, 61, 0.655914
94, 0, 1, 0, 0, 0.18223, 62, 0.659574
95, 0, 1, 0, 0, 0.182048, 63, 0.663158
96, 1, 0, 0, 0, 0.181866, 63, 0.65625
97, 0, 1, 0, 1, 0.181684, 64, 0.659794
98, 0, 1, 1, 1, 0.181502, 65, 0.663265
99, 0, 0, 0, 0, 0.181321, 65, 0.656566
100, 0, 1, 0, 0, 0.18114, 66, 0.66
101, 1, 0, 1, 0, 0.180958, 66, 0.653465
102, 0, 0, 0, 1, 0.180777, 66, 0.647059
103, 0, 1, 0, 0, 0.180597, 67, 0.650485
104, 0, 1, 0, 0, 0.180416, 68, 0.653846
105, 0, 1, 0, 0, 0.180236, 69, 0.657143
106, 1, 0, 1, 1, 0.180055, 69, 0.650943
107, 0, 0, 0, 0, 0.179875, 69, 0.64486
108, 0, 1, 0, 1, 0.179696, 70, 0.648148
109, 1, 0, 1, 0, 0.179516, 70, 0.642202
110, 0, 0, 0, 0, 0.179336, 70, 0.636364
111, 0, 1, 0, 0, 0.179157, 71, 0.63964
112, 1, 0, 1, 0, 0.178978, 71, 0.633929
113, 0, 0, 0, 0, 0.178799, 71, 0.628319
114, 1, 0, 0, 0, 0.17862, 71, 0.622807
115, 0, 1, 0, 1, 0.178441, 72, 0.626087
116, 0, 1, 0, 1, 0.178263, 73, 0.62931
117, 1, 0, 1, 0, 0.178085, 73, 0.623932
118, 0, 0, 0, 0, 0.177907, 73, 0.618644
119, 0, 1, 0, 0, 0.177729, 74, 0.621849
120, 1, 0, 1, 0, 0.177551, 74, 0.616667
121, 0, 0, 1, 1, 0.177373, 74, 0.61157
122, 0, 0, 0, 0, 0.177196, 74, 0.606557
123, 0, 1, 0, 0, 0.177019, 75, 0.609756
124, 0, 1, 0, 0, 0.176842, 76, 0.612903
125, 0, 1, 0, 0, 0.176665, 77, 0.616
126, 0, 1, 1, 1, 0.176488, 78, 0.619048
127, 0, 0, 0, 1, 0.176312, 78, 0.614173
128, 0, 1, 0, 0, 0.176136, 79, 0.617188
129, 0, 1, 0, 1, 0.175959, 80, 0.620155
130, 1, 0, 0, 0, 0.175783, 80, 0.615385
131, 0, 1, 0, 0, 0.175608, 81, 0.618321
132, 1, 0, 1, 0, 0.175432, 81, 0.613636
133, 0, 0, 1, 1, 0.175257, 81, 0.609023
134, 0, 0, 0, 1, 0.175081, 81, 0.604478
135, 0, 1, 0, 0, 0.174906, 82, 0.607407
136, 1, 0, 1, 0, 0.174731, 82, 0.602941
137, 0, 0, 0, 0, 0.174557, 82, 0.59854
138, 1, 0, 1, 0, 0.174382, 82, 0.594203
139, 0, 0, 1, 1, 0.174208, 82, 0.589928
140, 0, 0, 0, 1, 0.174034, 82, 0.585714
141, 0, 1, 0, 0, 0.173859, 83, 0.588652
142, 0, 1, 0, 1, 0.173686, 84, 0.591549
143, 0, 1, 0, 0, 0.173512, 85, 0.594406
144, 0, 1, 0, 1, 0.173338, 86, 0.597222
145, 0, 1, 0, 0, 0.173165, 87, 0.6
146, 0, 1, 0, 0, 0.172992, 88, 0.60274
147, 0, 1, 0, 0, 0.172819, 89, 0.605442
148, 0, 1, 0, 0, 0.172646, 90, 0.608108
149, 1, 0, 1, 0, 0.172473, 90, 0.604027
150, 0, 0, 0, 0, 0.172301, 90, 0.6
151, 0, 1, 0, 0, 0.172129, 91, 0.602649
152, 0, 1, 0, 1, 0.171957, 92, 0.605263
153, 0, 1, 0, 0, 0.171785, 93, 0.607843
154, 1, 0, 1, 0, 0.171613, 93, 0.603896
155, 0, 0, 1, 1, 0.171441, 93, 0.6
156, 0, 0, 0, 0, 0.17127, 93, 0.596154
157, 1, 0, 1, 0, 0.171098, 93, 0.592357
158, 1, 1, 0, 0, 0.170927, 94, 0.594937
159, 0, 1, 0, 0, 0.170756, 95, 0.597484
160, 0, 1, 0, 0, 0.170586, 96, 0.6
161, 0, 1, 1, 1, 0.170415, 97, 0.602484
162, 0, 0, 0, 0, 0.170245, 97, 0.598765
163, 0, 1, 0, 0, 0.170074, 98, 0.601227
164, 0, 1, 0, 0, 0.169904, 99, 0.603659
165, 0, 1, 0, 0, 0.169734, 100, 0.606061
166, 1, 0, 0, 0, 0.169565, 100, 0.60241
167, 1, 0, 1, 0, 0.169395, 100, 0.598802
168, 0, 0, 0, 1, 0.169226, 100, 0.595238
169, 0, 1, 0, 0, 0.169057, 101, 0.597633
170, 0, 1, 0, 0, 0.168887, 102, 0.6
171, 0, 1, 0, 0, 0.168719, 103, 0.602339
172, 0, 1, 0, 0, 0.16855, 104, 0.604651
173, 0, 1, 0, 0, 0.168381, 105, 0.606936
174, 1, 0, 0, 1, 0.168213, 105, 0.603448
175, 0, 1, 0, 0, 0.168045, 106, 0.605714
176, 0, 1, 0, 0, 0.167877, 107, 0.607955
177, 1, 0, 1, 0, 0.167709, 107, 0.60452
178, 0, 0, 0, 0, 0.167541, 107, 0.601124
179, 1, 0, 0, 0, 0.167374, 107, 0.597765
180, 0, 1, 0, 0, 0.167206, 108, 0.6
181, 0, 1, 0, 0, 0.167039, 109, 0.60221
