cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 1, 0.99, 0, 0
2, 2, 2, 0, 1, 0.98901, 2, 1
3, 0, 1, 0, 1, 0.988021, 3, 1
4, 1, 2, 1, 1, 0.987033, 5, 1.25
5, 2, 2, 1, 1, 0.986046, 7, 1.4
6, 2, 2, 0, 1, 0.98506, 9, 1.5
7, 0, 1, 1, 1, 0.984075, 10, 1.42857
8, 0, 0, 2, 1, 0.983091, 10, 1.25
9, 0, 2, 2, 1, 0.982108, 12, 1.33333
10, 2, 1, 1, 1, 0.981126, 13, 1.3
11, 1, 1, 1, 1, 0.980144, 14, 1.27273
12, 2, 2, 2, 1, 0.979164, 16, 1.33333
13, 1, 0, 0, 1, 0.978185, 16, 1.23077
14, 1, 2, 0, 1, 0.977207, 18, 1.28571
15, 2, 0, 2, 1, 0.97623, 18, 1.2
16, 2, 1, 2, 1, 0.975254, 19, 1.1875
17, 0, 2, 2, 1, 0.974278, 21, 1.23529
18, 0, 2, 2, 1, 0.973304, 23, 1.27778
19, 2, 1, 1, 1, 0.972331, 24, 1.26316
20, 1, 1, 1, 0, 0.971358, 25, 1.25
21, 2, 2, 2, 1, 0.970387, 27, 1.28571
22, 0, 2, 0, 1, 0.969417, 29, 1.31818
23, 1, 2, 0, 1, 0.968447, 31, 1.34783
24, 0, 1, 2, 1, 0.967479, 32, 1.33333
25, 2, 1, 0, 1, 0.966511, 33, 1.32
26, 1, 2, 0, 1, 0.965545, 35, 1.34615
27, 1, 2, 2, 1, 0.964579, 37, 1.37037
28, 2, 1, 1, 1, 0.963615, 38, 1.35714
29, 2, 2, 2, 1, 0.962651, 40, 1.37931
30, 2, 1, 0, 1, 0.961688, 41, 1.36667
31, 0, 1, 1, 1, 0.960727, 42, 1.35484
32, 2, 2, 2, 1, 0.959766, 44, 1.375
33, 0, 2, 1, 1, 0.958806, 46, 1.39394
34, 0, 0, 1, 1, 0.957847, 46, 1.35294
35, 2, 2, 2, 1, 0.95689, 48, 1.37143
36, 0, 2, 1, 1, 0.955933, 50, 1.38889
37, 1, 1, 1, 1, 0.954977, 51, 1.37838
38, 1, 1, 0, 1, 0.954022, 52, 1.36842
39, 0, 1, 2, 1, 0.953068, 53, 1.35897
40, 2, 1, 1, 1, 0.952115, 54, 1.35
41, 0, 0, 2, 1, 0.951163, 54, 1.31707
42, 1, 0, 2, 1, 0.950211, 54, 1.28571
43, 1, 0, 0, 1, 0.949261, 54, 1.25581
44, 0, 1, 2, 1, 0.948312, 55, 1.25
45, 1, 0, 0, 1, 0.947364, 55, 1.22222
46, 2, 0, 1, 1, 0.946416, 55, 1.19565
47, 2, 2, 0, 1, 0.94547, 57, 1.21277
48, 1, 2, 0, 0, 0.944524, 59, 1.22917
49, 1, 2, 1, 0, 0.94358, 61, 1.2449
50, 0, 0, 1, 1, 0.942636, 61, 1.22
51, 2, 2, 0, 1, 0.941694, 63, 1.23529
52, 0, 1, 0, 1, 0.940752, 64, 1.23077
53, 1, 2, 2, 1, 0.939811, 66, 1.24528
54, 0, 2, 1, 1, 0.938871, 68, 1.25926
55, 2, 2, 1, 1, 0.937932, 70, 1.27273
56, 2, 2, 0, 1, 0.936995, 72, 1.28571
57, 1, 2, 0, 1, 0.936058, 74, 1.29825
58, 1, 2, 2, 1, 0.935121, 76, 1.31034
59, 1, 0, 0, 1, 0.934186, 76, 1.28814
60, 1, 2, 2, 1, 0.933252, 78, 1.3
61, 2, 1, 0, 1, 0.932319, 79, 1.29508
62, 2, 0, 2, 1, 0.931387, 79, 1.27419
63, 2, 1, 2, 1, 0.930455, 80, 1.26984
64, 0, 2, 2, 1, 0.929525, 82, 1.28125
65, 0, 2, 0, 1, 0.928595, 84, 1.29231
66, 2, 0, 0, 0, 0.927667, 84, 1.27273
67, 2, 0, 0, 1, 0.926739, 84, 1.25373
68, 2, 0, 1, 1, 0.925812, 84, 1.23529
69, 2, 2, 1, 1, 0.924886, 86, 1.24638
70, 0, 0, 2, 1, 0.923962, 86, 1.22857
71, 0, 2, 1, 1, 0.923038, 88, 1.23944
72, 2, 2, 0, 1, 0.922115, 90, 1.25
73, 0, 1, 0, 1, 0.921192, 91, 1.24658
74, 2, 0, 1, 1, 0.920271, 91, 1.22973
75, 2, 2, 0, 0, 0.919351, 93, 1.24
76, 1, 2, 1, 1, 0.918432, 95, 1.25
77, 1, 1, 0, 1, 0.917513, 96, 1.24675
78, 1, 2, 1, 1, 0.916596, 98, 1.25641
79, 1, 1, 1, 1, 0.915679, 99, 1.25316
80, 1, 1, 1, 1, 0.914763, 100, 1.25
81, 1, 1, 0, 1, 0.913849, 101, 1.24691
82, 1, 2, 0, 1, 0.912935, 103, 1.2561
83, 1, 2, 2, 1, 0.912022, 105, 1.26506
84, 2, 1, 0, 1, 0.91111, 106, 1.2619
85, 1, 2, 2, 1, 0.910199, 108, 1.27059
86, 1, 0, 0, 1, 0.909288, 108, 1.25581
87, 0, 1, 0, 1, 0.908379, 109, 1.25287
88, 1, 2, 0, 0, 0.907471, 111, 1.26136
89, 2, 0, 2, 1, 0.906563, 111, 1.24719
90, 2, 1, 1, 0, 0.905657, 112, 1.24444
91, 0, 0, 1, 1, 0.904751, 112, 1.23077
92, 0, 0, 2, 1, 0.903846, 112, 1.21739
93, 2, 1, 2, 1, 0.902943, 113, 1.21505
94, 1, 0, 0, 1, 0.90204, 113, 1.20213
95, 1, 2, 0, 1, 0.901138, 115, 1.21053
96, 2, 0, 0, 1, 0.900236, 115, 1.19792
97, 2, 0, 1, 1, 0.899336, 115, 1.18557
98, 2, 2, 0, 1, 0.898437, 117, 1.19388
99, 0, 1, 1, 1, 0.897538, 118, 1.19192
100, 1, 1, 0, 1, 0.896641, 119, 1.19
101, 1, 2, 0, 1, 0.895744, 121, 1.19802
102, 1, 2, 2, 1, 0.894848, 123, 1.20588
103, 1, 0, 1, 1, 0.893954, 123, 1.19417
104, 2, 2, 2, 1, 0.89306, 125, 1.20192
105, 1, 0, 2, 1, 0.892167, 125, 1.19048
106, 0, 2, 0, 1, 0.891274, 127, 1.19811
107, 0, 1, 0, 1, 0.890383, 128, 1.19626
108, 1, 2, 1, 1, 0.889493, 130, 1.2037
109, 1, 1, 1, 1, 0.888603, 131, 1.20183
110, 0, 0, 2, 1, 0.887715, 131, 1.19091
111, 1, 0, 2, 1, 0.886827, 131, 1.18018
112, 1, 0, 0, 1, 0.88594, 131, 1.16964
113, 1, 2, 2, 1, 0.885054, 133, 1.17699
114, 0, 2, 2, 1, 0.884169, 135, 1.18421
115, 2, 1, 1, 0, 0.883285, 136, 1.18261
116, 1, 1, 2, 1, 0.882402, 137, 1.18103
117, 0, 2, 1, 1, 0.881519, 139, 1.18803
118, 0, 0, 2, 1, 0.880638, 139, 1.17797
119, 1, 0, 0, 1, 0.879757, 139, 1.16807
120, 0, 1, 0, 1, 0.878877, 140, 1.16667
121, 1, 2, 0, 1, 0.877999, 142, 1.17355
122, 0, 1, 2, 1, 0.877121, 143, 1.17213
123, 1, 0, 1, 1, 0.876243, 143, 1.1626
124, 2, 2, 1, 1, 0.875367, 145, 1.16935
125, 1, 1, 1, 1, 0.874492, 146, 1.168
126, 0, 0, 1, 0, 0.873617, 146, 1.15873
127, 2, 2, 1, 0, 0.872744, 148, 1.16535
128, 0, 0, 2, 1, 0.871871, 148, 1.15625
129, 1, 0, 0, 1, 0.870999, 148, 1.14729
130, 0, 1, 0, 1, 0.870128, 149, 1.14615
131, 2, 0, 0, 1, 0.869258, 149, 1.1374
132, 2, 0, 1, 0, 0.868389, 149, 1.12879
133, 2, 2, 1, 0, 0.86752, 151, 1.13534
134, 1, 1, 1, 1, 0.866653, 152, 1.13433
135, 0, 0, 0, 0, 0.865786, 152, 1.12593
136, 2, 0, 1, 1, 0.86492, 152, 1.11765
137, 2, 2, 2, 1, 0.864055, 154, 1.12409
138, 0, 2, 0, 1, 0.863191, 156, 1.13043
139, 0, 1, 0, 1, 0.862328, 157, 1.1295
140, 0, 1, 0, 1, 0.861466, 158, 1.12857
141, 1, 2, 0, 1, 0.860604, 160, 1.13475
142, 2, 0, 0, 1, 0.859744, 160, 1.12676
143, 2, 0, 0, 1, 0.858884, 160, 1.11888
144, 2, 0, 1, 1, 0.858025, 160, 1.11111
145, 2, 2, 0, 0, 0.857167, 162, 1.11724
146, 0, 1, 0, 0, 0.85631, 163, 1.11644
147, 0, 1, 2, 1, 0.855454, 164, 1.11565
148, 0, 2, 0, 0, 0.854598, 166, 1.12162
149, 2, 0, 1, 1, 0.853744, 166, 1.11409
150, 2, 2, 1, 1, 0.85289, 168, 1.12
151, 2, 2, 0, 1, 0.852037, 170, 1.12583
152, 2, 0, 0, 1, 0.851185, 170, 1.11842
153, 2, 0, 0, 1, 0.850334, 170, 1.11111
154, 2, 0, 1, 1, 0.849483, 170, 1.1039
155, 2, 2, 0, 1, 0.848634, 172, 1.10968
156, 0, 1, 1, 1, 0.847785, 173, 1.10897
157, 0, 0, 1, 1, 0.846937, 173, 1.10191
158, 2, 2, 2, 0, 0.846091, 175, 1.10759
159, 0, 2, 2, 1, 0.845244, 177, 1.11321
160, 0, 2, 2, 1, 0.844399, 179, 1.11875
161, 2, 1, 1, 1, 0.843555, 180, 1.11801
162, 0, 0, 1, 1, 0.842711, 180, 1.11111
163, 0, 0, 0, 1, 0.841869, 180, 1.10429
164, 1, 2, 2, 1, 0.841027, 182, 1.10976
165, 1, 0, 2, 1, 0.840186, 182, 1.10303
166, 2, 1, 2, 1, 0.839345, 183, 1.10241
167, 1, 0, 1, 1, 0.838506, 183, 1.09581
168, 0, 0, 1, 1, 0.837668, 183, 1.08929
169, 0, 0, 2, 1, 0.83683, 183, 1.08284
170, 0, 2, 0, 1, 0.835993, 185, 1.08824
171, 2, 0, 0, 1, 0.835157, 185, 1.08187
172, 2, 0, 1, 1, 0.834322, 185, 1.07558
173, 2, 2, 0, 1, 0.833488, 187, 1.08092
174, 1, 2, 1, 1, 0.832654, 189, 1.08621
175, 1, 1, 0, 0, 0.831822, 190, 1.08571
176, 1, 2, 0, 1, 0.83099, 192, 1.09091
177, 0, 1, 1, 1, 0.830159, 193, 1.0904
178, 2, 2, 0, 1, 0.829329, 195, 1.09551
179, 1, 2, 0, 1, 0.828499, 197, 1.10056
180, 0, 1, 1, 1, 0.827671, 198, 1.1
181, 0, 0, 1, 1, 0.826843, 198, 1.09392
182, 1, 1, 2, 1, 0.826016, 199, 1.09341
183, 2, 1, 2, 0, 0.82519, 200, 1.0929
184, 2, 1, 0, 0, 0.824365, 201, 1.09239
185, 1, 2, 2, 1, 0.823541, 203, 1.0973
186, 1, 0, 2, 1, 0.822717, 203, 1.0914
187, 1, 0, 1, 1, 0.821894, 203, 1.08556
188, 0, 0, 2, 0, 0.821072, 203, 1.07979
189, 0, 2, 2, 1, 0.820251, 205, 1.08466
190, 0, 2, 0, 0, 0.819431, 207, 1.08947
191, 0, 1, 2, 1, 0.818612, 208, 1.08901
192, 0, 2, 2, 1, 0.817793, 210, 1.09375
193, 0, 2, 2, 1, 0.816975, 212, 1.09845
194, 1, 0, 2, 0, 0.816158, 212, 1.09278
195, 0, 2, 1, 1, 0.815342, 214, 1.09744
196, 1, 1, 2, 1, 0.814527, 215, 1.09694
197, 2, 1, 0, 1, 0.813712, 216, 1.09645
198, 0, 1, 2, 1, 0.812899, 217, 1.09596
199, 2, 1, 0, 1, 0.812086, 218, 1.09548
200, 1, 2, 1, 1, 0.811274, 220, 1.1
201, 1, 1, 2, 0, 0.810462, 221, 1.0995
202, 2, 1, 1, 1, 0.809652, 222, 1.09901
203, 0, 0, 0, 1, 0.808842, 222, 1.0936
204, 0, 1, 2, 0, 0.808033, 223, 1.09314
205, 2, 1, 2, 1, 0.807225, 224, 1.09268
206, 1, 0, 2, 0, 0.806418, 224, 1.08738
207, 2, 1, 2, 1, 0.805612, 225, 1.08696
208, 2, 1, 0, 0, 0.804806, 226, 1.08654
209, 0, 1, 1, 1, 0.804001, 227, 1.08612
210, 1, 1, 1, 1, 0.803197, 228, 1.08571
211, 0, 0, 2, 1, 0.802394, 228, 1.08057
212, 0, 2, 0, 0, 0.801592, 230, 1.08491
213, 2, 0, 0, 1, 0.80079, 230, 1.07981
214, 2, 0, 2, 1, 0.799989, 230, 1.07477
215, 2, 1, 1, 1, 0.799189, 231, 1.07442
216, 0, 0, 1, 1, 0.79839, 231, 1.06944
217, 2, 2, 2, 1, 0.797592, 233, 1.07373
218, 2, 1, 2, 1, 0.796794, 234, 1.07339
