cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19659, 1, 1, 1, 0, 5.74642e-10, 15107, 0.768452
19660, 1, 1, 1, 0, 5.74068e-10, 15108, 0.768464
19661, 1, 1, 1, 0, 5.73494e-10, 15109, 0.768476
19662, 1, 1, 1, 0, 5.7292e-10, 15110, 0.768487
19663, 1, 1, 1, 0, 5.72347e-10, 15111, 0.768499
19664, 1, 1, 1, 0, 5.71775e-10, 15112, 0.768511
19665, 1, 1, 1, 0, 5.71203e-10, 15113, 0.768523
19666, 1, 1, 1, 0, 5.70632e-10, 15114, 0.768535
19667, 1, 1, 1, 0, 5.70061e-10, 15115, 0.768546
19668, 1, 1, 0, 0, 5.69491e-10, 15116, 0.768558
19669, 1, 0, 1, 0, 5.68922e-10, 15116, 0.768519
19670, 1, 1, 1, 0, 5.68353e-10, 15117, 0.768531
19671, 1, 1, 1, 0, 5.67784e-10, 15118, 0.768543
19672, 1, 1, 1, 0, 5.67217e-10, 15119, 0.768554
19673, 1, 1, 1, 0, 5.66649e-10, 15120, 0.768566
19674, 1, 1, 1, 0, 5.66083e-10, 15121, 0.768578
19675, 1, 1, 1, 0, 5.65517e-10, 15122, 0.76859
19676, 0, 0, 1, 0, 5.64951e-10, 15122, 0.768551
19677, 0, 0, 1, 0, 5.64386e-10, 15122, 0.768511
19678, 0, 0, 1, 0, 5.63822e-10, 15122, 0.768472
19679, 1, 1, 1, 0, 5.63258e-10, 15123, 0.768484
19680, 1, 1, 1, 0, 5.62695e-10, 15124, 0.768496
19681, 1, 1, 1, 0, 5.62132e-10, 15125, 0.768508
19682, 1, 1, 1, 0, 5.6157e-10, 15126, 0.768519
19683, 1, 1, 0, 0, 5.61008e-10, 15127, 0.768531
19684, 1, 0, 1, 0, 5.60447e-10, 15127, 0.768492
19685, 1, 1, 1, 0, 5.59887e-10, 15128, 0.768504
19686, 1, 1, 1, 0, 5.59327e-10, 15129, 0.768516
19687, 1, 1, 1, 0, 5.58768e-10, 15130, 0.768527
19688, 1, 1, 1, 0, 5.58209e-10, 15131, 0.768539
19689, 1, 1, 0, 0, 5.57651e-10, 15132, 0.768551
19690, 1, 0, 1, 0, 5.57093e-10, 15132, 0.768512
19691, 1, 1, 1, 0, 5.56536e-10, 15133, 0.768524
19692, 1, 1, 1, 0, 5.55979e-10, 15134, 0.768535
19693, 1, 1, 1, 0, 5.55423e-10, 15135, 0.768547
19694, 1, 1, 1, 0, 5.54868e-10, 15136, 0.768559
19695, 0, 0, 1, 0, 5.54313e-10, 15136, 0.76852
