cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19338, 0, 1, 0, 0, 3.92176e-09, 21841, 1.12943
19339, 0, 1, 0, 0, 3.91784e-09, 21842, 1.12943
19340, 0, 1, 2, 0, 3.91392e-09, 21843, 1.12942
19341, 2, 1, 0, 0, 3.91001e-09, 21844, 1.12941
19342, 1, 2, 2, 0, 3.9061e-09, 21846, 1.12946
19343, 2, 1, 0, 0, 3.90219e-09, 21847, 1.12945
19344, 0, 1, 0, 0, 3.89829e-09, 21848, 1.12945
19345, 2, 0, 1, 0, 3.89439e-09, 21848, 1.12939
19346, 2, 2, 0, 0, 3.8905e-09, 21850, 1.12943
19347, 2, 0, 1, 0, 3.88661e-09, 21850, 1.12937
19348, 2, 2, 0, 0, 3.88272e-09, 21852, 1.12942
19349, 1, 2, 2, 0, 3.87884e-09, 21854, 1.12946
19350, 0, 2, 1, 0, 3.87496e-09, 21856, 1.12951
19351, 0, 0, 2, 0, 3.87108e-09, 21856, 1.12945
19352, 0, 2, 1, 0, 3.86721e-09, 21858, 1.1295
19353, 2, 2, 0, 0, 3.86334e-09, 21860, 1.12954
19354, 2, 0, 1, 0, 3.85948e-09, 21860, 1.12948
19355, 2, 2, 1, 0, 3.85562e-09, 21862, 1.12953
19356, 1, 1, 0, 0, 3.85177e-09, 21863, 1.12952
19357, 2, 0, 1, 0, 3.84791e-09, 21863, 1.12946
19358, 2, 2, 0, 0, 3.84407e-09, 21865, 1.12951
19359, 2, 0, 1, 0, 3.84022e-09, 21865, 1.12945
19360, 2, 2, 0, 0, 3.83638e-09, 21867, 1.12949
19361, 0, 1, 0, 0, 3.83254e-09, 21868, 1.12949
19362, 2, 0, 1, 0, 3.82871e-09, 21868, 1.12943
19363, 2, 2, 1, 0, 3.82488e-09, 21870, 1.12947
19364, 1, 1, 1, 0, 3.82106e-09, 21871, 1.12947
19365, 1, 1, 1, 0, 3.81724e-09, 21872, 1.12946
19366, 1, 1, 2, 0, 3.81342e-09, 21873, 1.12945
19367, 1, 0, 0, 0, 3.80961e-09, 21873, 1.1294
19368, 2, 0, 1, 0, 3.8058e-09, 21873, 1.12934
19369, 2, 2, 0, 0, 3.80199e-09, 21875, 1.12938
19370, 1, 2, 0, 0, 3.79819e-09, 21877, 1.12943
19371, 2, 0, 1, 0, 3.79439e-09, 21877, 1.12937
19372, 2, 2, 1, 0, 3.7906e-09, 21879, 1.12941
19373, 2, 2, 1, 0, 3.78681e-09, 21881, 1.12946
19374, 1, 1, 1, 0, 3.78302e-09, 21882, 1.12945
19375, 0, 0, 0, 0, 3.77924e-09, 21882, 1.12939
19376, 1, 2, 2, 0, 3.77546e-09, 21884, 1.12944
19377, 2, 1, 1, 0, 3.77168e-09, 21885, 1.12943
19378, 2, 2, 0, 0, 3.76791e-09, 21887, 1.12948
19379, 2, 0, 1, 0, 3.76414e-09, 21887, 1.12942
19380, 2, 2, 1, 0, 3.76038e-09, 21889, 1.12946
19381, 1, 1, 1, 0, 3.75662e-09, 21890, 1.12946
19382, 2, 2, 1, 0, 3.75286e-09, 21892, 1.1295
19383, 0, 0, 2, 0, 3.74911e-09, 21892, 1.12944
19384, 0, 2, 0, 0, 3.74536e-09, 21894, 1.12949
19385, 2, 0, 1, 0, 3.74161e-09, 21894, 1.12943
19386, 2, 2, 0, 0, 3.73787e-09, 21896, 1.12947
19387, 0, 1, 0, 0, 3.73413e-09, 21897, 1.12947
19388, 0, 1, 2, 0, 3.7304e-09, 21898, 1.12946
19389, 2, 1, 2, 0, 3.72667e-09, 21899, 1.12945
19390, 2, 1, 1, 0, 3.72294e-09, 21900, 1.12945
19391, 0, 0, 0, 0, 3.71922e-09, 21900, 1.12939
19392, 2, 0, 1, 0, 3.7155e-09, 21900, 1.12933
19393, 2, 2, 1, 0, 3.71179e-09, 21902, 1.12938
19394, 1, 1, 2, 0, 3.70807e-09, 21903, 1.12937
19395, 1, 0, 0, 0, 3.70437e-09, 21903, 1.12931
19396, 2, 0, 1, 0, 3.70066e-09, 21903, 1.12925
19397, 2, 2, 0, 0, 3.69696e-09, 21905, 1.1293
19398, 1, 2, 1, 0, 3.69326e-09, 21907, 1.12934
19399, 0, 0, 0, 0, 3.68957e-09, 21907, 1.12929
19400, 1, 2, 1, 0, 3.68588e-09, 21909, 1.12933
19401, 2, 2, 1, 0, 3.68219e-09, 21911, 1.12937
19402, 1, 1, 2, 0, 3.67851e-09, 21912, 1.12937
19403, 0, 2, 2, 0, 3.67483e-09, 21914, 1.12941
19404, 0, 2, 0, 0, 3.67116e-09, 21916, 1.12946
19405, 1, 2, 1, 0, 3.66749e-09, 21918, 1.1295
19406, 2, 2, 1, 0, 3.66382e-09, 21920, 1.12955
19407, 2, 2, 0, 0, 3.66016e-09, 21922, 1.12959
19408, 1, 2, 0, 0, 3.6565e-09, 21924, 1.12964
19409, 0, 1, 0, 0, 3.65284e-09, 21925, 1.12963
19410, 0, 1, 2, 0, 3.64919e-09, 21926, 1.12962
19411, 2, 1, 2, 0, 3.64554e-09, 21927, 1.12962
19412, 2, 1, 0, 0, 3.64189e-09, 21928, 1.12961
19413, 1, 2, 1, 0, 3.63825e-09, 21930, 1.12966
19414, 1, 1, 0, 0, 3.63461e-09, 21931, 1.12965
19415, 0, 1, 2, 0, 3.63098e-09, 21932, 1.12964
19416, 2, 1, 2, 0, 3.62735e-09, 21933, 1.12964
19417, 2, 1, 0, 0, 3.62372e-09, 21934, 1.12963
19418, 0, 1, 1, 0, 3.6201e-09, 21935, 1.12962
19419, 0, 0, 0, 0, 3.61648e-09, 21935, 1.12956
19420, 1, 2, 2, 0, 3.61286e-09, 21937, 1.12961
19421, 1, 0, 1, 0, 3.60925e-09, 21937, 1.12955
19422, 1, 1, 2, 0, 3.60564e-09, 21938, 1.12954
19423, 2, 1, 1, 0, 3.60203e-09, 21939, 1.12954
19424, 2, 2, 1, 0, 3.59843e-09, 21941, 1.12958
19425, 2, 2, 0, 0, 3.59483e-09, 21943, 1.12963
19426, 1, 2, 2, 0, 3.59124e-09, 21945, 1.12967
19427, 0, 2, 0, 0, 3.58765e-09, 21947, 1.12972
19428, 1, 2, 1, 0, 3.58406e-09, 21949, 1.12976
19429, 1, 1, 2, 0, 3.58047e-09, 21950, 1.12975
19430, 0, 2, 0, 0, 3.57689e-09, 21952, 1.1298
19431, 0, 1, 2, 0, 3.57332e-09, 21953, 1.12979
19432, 2, 1, 0, 0, 3.56974e-09, 21954, 1.12979
19433, 2, 0, 1, 0, 3.56617e-09, 21954, 1.12973
19434, 2, 2, 1, 0, 3.56261e-09, 21956, 1.12977
19435, 1, 1, 0, 0, 3.55904e-09, 21957, 1.12977
19436, 0, 1, 0, 0, 3.55549e-09, 21958, 1.12976
19437, 2, 0, 1, 0, 3.55193e-09, 21958, 1.1297
19438, 2, 2, 1, 0, 3.54838e-09, 21960, 1.12975
19439, 0, 0, 2, 0, 3.54483e-09, 21960, 1.12969
19440, 0, 2, 1, 0, 3.54128e-09, 21962, 1.12973
19441, 2, 2, 2, 0, 3.53774e-09, 21964, 1.12978
19442, 1, 0, 2, 0, 3.53421e-09, 21964, 1.12972
19443, 2, 1, 0, 0, 3.53067e-09, 21965, 1.12971
19444, 2, 0, 1, 0, 3.52714e-09, 21965, 1.12965
19445, 2, 2, 2, 0, 3.52361e-09, 21967, 1.1297
19446, 0, 2, 1, 0, 3.52009e-09, 21969, 1.12974
19447, 0, 0, 2, 0, 3.51657e-09, 21969, 1.12969
19448, 1, 0, 0, 0, 3.51305e-09, 21969, 1.12963
19449, 1, 2, 2, 0, 3.50954e-09, 21971, 1.12967
19450, 2, 1, 0, 0, 3.50603e-09, 21972, 1.12967
19451, 1, 2, 2, 0, 3.50252e-09, 21974, 1.12971
19452, 2, 1, 0, 0, 3.49902e-09, 21975, 1.1297
19453, 0, 1, 0, 0, 3.49552e-09, 21976, 1.1297
19454, 1, 2, 0, 0, 3.49203e-09, 21978, 1.12974
19455, 2, 0, 1, 0, 3.48854e-09, 21978, 1.12968
19456, 2, 2, 1, 0, 3.48505e-09, 21980, 1.12973
19457, 0, 0, 1, 0, 3.48156e-09, 21980, 1.12967
19458, 1, 1, 1, 0, 3.47808e-09, 21981, 1.12966
19459, 0, 0, 0, 0, 3.4746e-09, 21981, 1.12961
19460, 2, 0, 1, 0, 3.47113e-09, 21981, 1.12955
19461, 2, 2, 1, 0, 3.46766e-09, 21983, 1.12959
19462, 2, 2, 0, 0, 3.46419e-09, 21985, 1.12964
19463, 0, 1, 0, 0, 3.46072e-09, 21986, 1.12963
19464, 0, 1, 2, 0, 3.45726e-09, 21987, 1.12962
19465, 0, 2, 1, 0, 3.45381e-09, 21989, 1.12967
19466, 0, 0, 2, 0, 3.45035e-09, 21989, 1.12961
19467, 1, 0, 1, 0, 3.4469e-09, 21989, 1.12955
19468, 1, 1, 2, 0, 3.44346e-09, 21990, 1.12955
19469, 0, 2, 1, 0, 3.44001e-09, 21992, 1.12959
19470, 2, 2, 0, 0, 3.43657e-09, 21994, 1.12964
19471, 1, 2, 1, 0, 3.43314e-09, 21996, 1.12968
19472, 0, 0, 0, 0, 3.4297e-09, 21996, 1.12962
19473, 1, 2, 1, 0, 3.42627e-09, 21998, 1.12967
19474, 1, 1, 0, 0, 3.42285e-09, 21999, 1.12966
19475, 0, 1, 0, 0, 3.41942e-09, 22000, 1.12965
19476, 1, 2, 0, 0, 3.416e-09, 22002, 1.1297
19477, 0, 1, 0, 0, 3.41259e-09, 22003, 1.12969
19478, 0, 1, 0, 0, 3.40918e-09, 22004, 1.12968
19479, 2, 0, 1, 0, 3.40577e-09, 22004, 1.12963
19480, 2, 2, 1, 0, 3.40236e-09, 22006, 1.12967
19481, 2, 2, 0, 0, 3.39896e-09, 22008, 1.12972
19482, 0, 1, 0, 0, 3.39556e-09, 22009, 1.12971
19483, 2, 0, 1, 0, 3.39216e-09, 22009, 1.12965
19484, 2, 2, 2, 0, 3.38877e-09, 22011, 1.1297
19485, 0, 2, 2, 0, 3.38538e-09, 22013, 1.12974
19486, 1, 0, 2, 0, 3.382e-09, 22013, 1.12968
19487, 1, 0, 0, 0, 3.37862e-09, 22013, 1.12962
19488, 2, 0, 1, 0, 3.37524e-09, 22013, 1.12957
19489, 2, 2, 1, 0, 3.37186e-09, 22015, 1.12961
19490, 2, 2, 2, 0, 3.36849e-09, 22017, 1.12966
19491, 0, 2, 2, 0, 3.36512e-09, 22019, 1.1297
19492, 2, 1, 0, 0, 3.36176e-09, 22020, 1.12969
19493, 0, 1, 0, 0, 3.35839e-09, 22021, 1.12969
19494, 0, 1, 2, 0, 3.35504e-09, 22022, 1.12968
19495, 1, 0, 0, 0, 3.35168e-09, 22022, 1.12962
19496, 1, 2, 2, 0, 3.34833e-09, 22024, 1.12967
19497, 0, 2, 0, 0, 3.34498e-09, 22026, 1.12971
19498, 0, 1, 0, 0, 3.34164e-09, 22027, 1.12971
19499, 1, 2, 2, 0, 3.33829e-09, 22029, 1.12975
19500, 0, 2, 0, 0, 3.33496e-09, 22031, 1.12979
19501, 1, 2, 2, 0, 3.33162e-09, 22033, 1.12984
19502, 1, 0, 2, 0, 3.32829e-09, 22033, 1.12978
19503, 2, 1, 1, 0, 3.32496e-09, 22034, 1.12977
19504, 1, 1, 0, 0, 3.32164e-09, 22035, 1.12977
19505, 0, 1, 1, 0, 3.31831e-09, 22036, 1.12976
19506, 2, 2, 0, 0, 3.315e-09, 22038, 1.12981
19507, 1, 2, 2, 0, 3.31168e-09, 22040, 1.12985
19508, 1, 0, 0, 0, 3.30837e-09, 22040, 1.12979
19509, 1, 2, 2, 0, 3.30506e-09, 22042, 1.12984
19510, 1, 0, 0, 0, 3.30176e-09, 22042, 1.12978
19511, 0, 1, 0, 0, 3.29845e-09, 22043, 1.12977
19512, 0, 1, 2, 0, 3.29516e-09, 22044, 1.12977
19513, 2, 1, 2, 0, 3.29186e-09, 22045, 1.12976
19514, 2, 1, 0, 0, 3.28857e-09, 22046, 1.12975
19515, 1, 2, 0, 0, 3.28528e-09, 22048, 1.1298
19516, 0, 1, 0, 0, 3.282e-09, 22049, 1.12979
19517, 2, 0, 1, 0, 3.27871e-09, 22049, 1.12973
19518, 2, 2, 2, 0, 3.27543e-09, 22051, 1.12978
19519, 0, 2, 0, 0, 3.27216e-09, 22053, 1.12982
19520, 2, 0, 1, 0, 3.26889e-09, 22053, 1.12976
19521, 2, 2, 1, 0, 3.26562e-09, 22055, 1.12981
19522, 0, 0, 1, 0, 3.26235e-09, 22055, 1.12975
19523, 0, 0, 0, 0, 3.25909e-09, 22055, 1.12969
19524, 1, 2, 2, 0, 3.25583e-09, 22057, 1.12974
19525, 2, 1, 1, 0, 3.25257e-09, 22058, 1.12973
19526, 1, 1, 0, 0, 3.24932e-09, 22059, 1.12972
19527, 0, 1, 2, 0, 3.24607e-09, 22060, 1.12972
19528, 2, 1, 0, 0, 3.24283e-09, 22061, 1.12971
19529, 2, 0, 1, 0, 3.23958e-09, 22061, 1.12965
19530, 2, 2, 0, 0, 3.23634e-09, 22063, 1.1297
19531, 0, 1, 1, 0, 3.23311e-09, 22064, 1.12969
19532, 0, 0, 0, 0, 3.22988e-09, 22064, 1.12963
19533, 1, 2, 2, 0, 3.22665e-09, 22066, 1.12968
19534, 0, 2, 0, 0, 3.22342e-09, 22068, 1.12972
19535, 0, 1, 2, 0, 3.2202e-09, 22069, 1.12972
19536, 2, 1, 2, 0, 3.21698e-09, 22070, 1.12971
19537, 0, 2, 1, 0, 3.21376e-09, 22072, 1.12975
19538, 1, 1, 1, 0, 3.21054e-09, 22073, 1.12975
19539, 0, 0, 0, 0, 3.20733e-09, 22073, 1.12969
19540, 1, 2, 2, 0, 3.20413e-09, 22075, 1.12973
19541, 1, 0, 1, 0, 3.20092e-09, 22075, 1.12968
19542, 1, 1, 1, 0, 3.19772e-09, 22076, 1.12967
19543, 0, 0, 1, 0, 3.19452e-09, 22076, 1.12961
19544, 2, 2, 1, 0, 3.19133e-09, 22078, 1.12966
19545, 2, 2, 1, 0, 3.18814e-09, 22080, 1.1297
19546, 0, 0, 2, 0, 3.18495e-09, 22080, 1.12964
19547, 0, 2, 0, 0, 3.18176e-09, 22082, 1.12969
19548, 2, 0, 1, 0, 3.17858e-09, 22082, 1.12963
19549, 2, 2, 0, 0, 3.1754e-09, 22084, 1.12967
19550, 2, 0, 1, 0, 3.17223e-09, 22084, 1.12962
19551, 2, 2, 0, 0, 3.16906e-09, 22086, 1.12966
19552, 1, 2, 2, 0, 3.16589e-09, 22088, 1.12971
19553, 2, 1, 1, 0, 3.16272e-09, 22089, 1.1297
19554, 0, 0, 2, 0, 3.15956e-09, 22089, 1.12964
19555, 1, 0, 0, 0, 3.1564e-09, 22089, 1.12958
