cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 0, 0, 0.2, 0, 0
2, 0, 1, 0, 1, 0.1998, 1, 0.5
3, 0, 1, 1, 0, 0.1996, 2, 0.666667
4, 0, 0, 0, 1, 0.199401, 2, 0.5
5, 0, 1, 1, 0, 0.199201, 3, 0.6
6, 0, 0, 1, 0, 0.199002, 3, 0.5
7, 0, 0, 0, 1, 0.198803, 3, 0.428571
8, 0, 1, 0, 1, 0.198604, 4, 0.5
9, 0, 1, 0, 0, 0.198406, 5, 0.555556
10, 1, 0, 1, 0, 0.198207, 5, 0.5
11, 0, 0, 1, 0, 0.198009, 5, 0.454545
12, 0, 0, 1, 0, 0.197811, 5, 0.416667
13, 1, 1, 1, 0, 0.197613, 6, 0.461538
14, 0, 0, 1, 1, 0.197416, 6, 0.428571
15, 0, 0, 1, 1, 0.197218, 6, 0.4
16, 0, 0, 1, 0, 0.197021, 6, 0.375
17, 1, 1, 0, 1, 0.196824, 7, 0.411765
18, 0, 1, 1, 1, 0.196627, 8, 0.444444
19, 0, 0, 1, 1, 0.19643, 8, 0.421053
20, 0, 0, 1, 0, 0.196234, 8, 0.4
21, 1, 1, 1, 0, 0.196038, 9, 0.428571
22, 0, 0, 1, 0, 0.195842, 9, 0.409091
23, 0, 0, 0, 1, 0.195646, 9, 0.391304
24, 0, 1, 1, 1, 0.19545, 10, 0.416667
25, 0, 0, 1, 0, 0.195255, 10, 0.4
26, 1, 1, 1, 0, 0.19506, 11, 0.423077
27, 1, 1, 1, 0, 0.194864, 12, 0.444444
28, 0, 0, 1, 0, 0.19467, 12, 0.428571
29, 0, 0, 1, 0, 0.194475, 12, 0.413793
30, 0, 0, 1, 0, 0.19428, 12, 0.4
31, 0, 0, 1, 0, 0.194086, 12, 0.387097
32, 0, 0, 1, 0, 0.193892, 12, 0.375
33, 0, 0, 1, 1, 0.193698, 12, 0.363636
34, 1, 1, 1, 1, 0.193505, 13, 0.382353
35, 0, 0, 0, 1, 0.193311, 13, 0.371429
36, 1, 0, 1, 0, 0.193118, 13, 0.361111
37, 1, 1, 1, 0, 0.192925, 14, 0.378378
38, 0, 0, 1, 0, 0.192732, 14, 0.368421
39, 0, 0, 1, 0, 0.192539, 14, 0.358974
40, 1, 1, 1, 0, 0.192346, 15, 0.375
41, 0, 0, 1, 0, 0.192154, 15, 0.365854
42, 1, 1, 0, 1, 0.191962, 16, 0.380952
43, 0, 1, 0, 1, 0.19177, 17, 0.395349
44, 0, 1, 1, 0, 0.191578, 18, 0.409091
45, 1, 1, 1, 0, 0.191387, 19, 0.422222
46, 0, 0, 1, 0, 0.191195, 19, 0.413043
47, 0, 0, 1, 0, 0.191004, 19, 0.404255
48, 0, 0, 1, 0, 0.190813, 19, 0.395833
49, 1, 1, 0, 1, 0.190622, 20, 0.408163
50, 0, 1, 1, 0, 0.190432, 21, 0.42
51, 0, 0, 1, 0, 0.190241, 21, 0.411765
52, 0, 0, 1, 0, 0.190051, 21, 0.403846
53, 0, 0, 0, 1, 0.189861, 21, 0.396226
54, 1, 0, 1, 0, 0.189671, 21, 0.388889
55, 0, 0, 1, 0, 0.189481, 21, 0.381818
56, 1, 1, 1, 0, 0.189292, 22, 0.392857
57, 0, 0, 0, 1, 0.189103, 22, 0.385965
58, 0, 1, 0, 0, 0.188913, 23, 0.396552
59, 0, 1, 0, 0, 0.188725, 24, 0.40678
60, 0, 1, 1, 0, 0.188536, 25, 0.416667
61, 0, 0, 1, 0, 0.188347, 25, 0.409836
62, 0, 0, 1, 1, 0.188159, 25, 0.403226
63, 0, 0, 1, 0, 0.187971, 25, 0.396825
64, 0, 0, 1, 0, 0.187783, 25, 0.390625
65, 0, 0, 1, 0, 0.187595, 25, 0.384615
66, 1, 1, 1, 0, 0.187407, 26, 0.393939
67, 0, 0, 0, 1, 0.18722, 26, 0.38806
68, 0, 1, 1, 1, 0.187033, 27, 0.397059
69, 0, 0, 1, 0, 0.186846, 27, 0.391304
70, 1, 1, 1, 0, 0.186659, 28, 0.4
71, 0, 0, 1, 0, 0.186472, 28, 0.394366
72, 0, 0, 1, 0, 0.186286, 28, 0.388889
73, 0, 0, 1, 0, 0.186099, 28, 0.383562
74, 0, 0, 0, 1, 0.185913, 28, 0.378378
75, 1, 0, 1, 0, 0.185727, 28, 0.373333
76, 0, 0, 1, 0, 0.185542, 28, 0.368421
77, 1, 1, 1, 0, 0.185356, 29, 0.376623
78, 0, 0, 0, 1, 0.185171, 29, 0.371795
79, 0, 1, 0, 0, 0.184986, 30, 0.379747
80, 1, 0, 1, 0, 0.184801, 30, 0.375
81, 1, 1, 1, 0, 0.184616, 31, 0.382716
82, 0, 0, 1, 0, 0.184431, 31, 0.378049
83, 0, 0, 1, 0, 0.184247, 31, 0.373494
84, 0, 0, 1, 0, 0.184063, 31, 0.369048
85, 0, 0, 1, 0, 0.183879, 31, 0.364706
86, 1, 1, 1, 0, 0.183695, 32, 0.372093
87, 0, 0, 1, 0, 0.183511, 32, 0.367816
88, 0, 0, 1, 0, 0.183327, 32, 0.363636
89, 0, 0, 1, 0, 0.183144, 32, 0.359551
90, 0, 0, 1, 0, 0.182961, 32, 0.355556
91, 0, 0, 1, 0, 0.182778, 32, 0.351648
92, 0, 0, 1, 0, 0.182595, 32, 0.347826
93, 0, 0, 1, 0, 0.182413, 32, 0.344086
94, 0, 0, 1, 0, 0.18223, 32, 0.340426
95, 0, 0, 1, 1, 0.182048, 32, 0.336842
96, 0, 0, 1, 0, 0.181866, 32, 0.333333
97, 0, 0, 1, 0, 0.181684, 32, 0.329897
98, 1, 1, 1, 0, 0.181502, 33, 0.336735
99, 0, 0, 1, 0, 0.181321, 33, 0.333333
100, 0, 0, 0, 1, 0.18114, 33, 0.33
101, 0, 1, 0, 0, 0.180958, 34, 0.336634
102, 0, 1, 0, 0, 0.180777, 35, 0.343137
103, 0, 1, 1, 0, 0.180597, 36, 0.349515
104, 0, 0, 1, 0, 0.180416, 36, 0.346154
105, 0, 0, 1, 0, 0.180236, 36, 0.342857
106, 0, 0, 1, 0, 0.180055, 36, 0.339623
107, 0, 0, 1, 0, 0.179875, 36, 0.336449
108, 1, 1, 1, 0, 0.179696, 37, 0.342593
109, 0, 0, 1, 0, 0.179516, 37, 0.33945
