cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0, 0, 0
2, 2, 99, 0, 0, 0, 99, 49.5
3, 1, 99, 0, 0, 0, 198, 66
4, 2, 99, 0, 0, 0, 297, 74.25
5, 1, 99, 0, 0, 0, 396, 79.2
6, 2, 99, 0, 0, 0, 495, 82.5
7, 1, 99, 0, 0, 0, 594, 84.8571
8, 1, 99, 0, 0, 0, 693, 86.625
9, 1, 99, 2, 0, 0, 792, 88
10, 0, 110, 0, 0, 0, 902, 90.2
11, 2, 99, 0, 0, 0, 1001, 91
12, 2, 99, 0, 0, 0, 1100, 91.6667
13, 2, 99, 1, 0, 0, 1199, 92.2308
14, 0, 110, 0, 0, 0, 1309, 93.5
15, 2, 99, 1, 0, 0, 1408, 93.8667
16, 0, 110, 0, 0, 0, 1518, 94.875
17, 2, 99, 0, 0, 0, 1617, 95.1176
18, 2, 99, 0, 0, 0, 1716, 95.3333
19, 2, 99, 0, 0, 0, 1815, 95.5263
20, 1, 99, 0, 0, 0, 1914, 95.7
21, 2, 99, 0, 0, 0, 2013, 95.8571
22, 1, 99, 0, 0, 0, 2112, 96
23, 2, 99, 0, 0, 0, 2211, 96.1304
24, 2, 99, 1, 0, 0, 2310, 96.25
25, 0, 110, 0, 0, 0, 2420, 96.8
26, 2, 99, 0, 0, 0, 2519, 96.8846
27, 2, 99, 0, 0, 0, 2618, 96.963
28, 2, 99, 0, 0, 0, 2717, 97.0357
29, 2, 99, 1, 0, 0, 2816, 97.1034
30, 0, 110, 0, 0, 0, 2926, 97.5333
31, 2, 99, 0, 0, 0, 3025, 97.5806
32, 2, 99, 1, 0, 0, 3124, 97.625
33, 0, 110, 0, 0, 0, 3234, 98
34, 2, 99, 0, 0, 0, 3333, 98.0294
35, 2, 99, 0, 0, 0, 3432, 98.0571
36, 2, 99, 1, 0, 0, 3531, 98.0833
37, 0, 110, 0, 0, 0, 3641, 98.4054
38, 2, 99, 0, 0, 0, 3740, 98.4211
39, 2, 99, 0, 0, 0, 3839, 98.4359
40, 1, 99, 0, 0, 0, 3938, 98.45
41, 2, 99, 0, 0, 0, 4037, 98.4634
42, 2, 99, 0, 0, 0, 4136, 98.4762
43, 2, 99, 1, 0, 0, 4235, 98.4884
44, 0, 110, 0, 0, 0, 4345, 98.75
45, 1, 99, 0, 0, 0, 4444, 98.7556
46, 1, 99, 2, 0, 0, 4543, 98.7609
47, 0, 110, 0, 0, 0, 4653, 99
48, 2, 99, 1, 0, 0, 4752, 99
49, 0, 110, 0, 0, 0, 4862, 99.2245
50, 1, 99, 0, 0, 0, 4961, 99.22
51, 2, 99, 0, 0, 0, 5060, 99.2157
52, 2, 99, 0, 0, 0, 5159, 99.2115
53, 2, 99, 1, 0, 0, 5258, 99.2075
54, 0, 110, 0, 0, 0, 5368, 99.4074
55, 2, 99, 1, 0, 0, 5467, 99.4
56, 0, 110, 0, 0, 0, 5577, 99.5893
57, 2, 99, 0, 0, 0, 5676, 99.5789
58, 2, 99, 1, 0, 0, 5775, 99.569
59, 0, 110, 0, 0, 0, 5885, 99.7458
60, 2, 99, 0, 0, 0, 5984, 99.7333
61, 2, 99, 0, 0, 0, 6083, 99.7213
62, 2, 99, 1, 0, 0, 6182, 99.7097
63, 0, 110, 0, 0, 0, 6292, 99.873
64, 2, 99, 0, 0, 0, 6391, 99.8594
65, 2, 99, 1, 0, 0, 6490, 99.8462
66, 0, 110, 0, 0, 0, 6600, 100
67, 2, 99, 0, 0, 0, 6699, 99.9851
68, 1, 99, 0, 0, 0, 6798, 99.9706
69, 2, 99, 0, 0, 0, 6897, 99.9565
70, 2, 99, 0, 0, 0, 6996, 99.9429
71, 2, 99, 1, 0, 0, 7095, 99.9296
72, 0, 110, 0, 0, 0, 7205, 100.069
73, 2, 99, 0, 0, 0, 7304, 100.055
74, 2, 99, 1, 0, 0, 7403, 100.041
75, 0, 110, 0, 0, 0, 7513, 100.173
76, 1, 99, 0, 0, 0, 7612, 100.158
77, 1, 99, 0, 0, 0, 7711, 100.143
78, 1, 99, 0, 0, 0, 7810, 100.128
79, 1, 99, 0, 0, 0, 7909, 100.114
80, 1, 99, 0, 0, 0, 8008, 100.1
81, 1, 99, 0, 0, 0, 8107, 100.086
82, 1, 99, 0, 0, 0, 8206, 100.073
83, 1, 99, 0, 0, 0, 8305, 100.06
84, 1, 99, 0, 0, 0, 8404, 100.048
85, 1, 99, 2, 0, 0, 8503, 100.035
86, 0, 110, 0, 0, 0, 8613, 100.151
87, 1, 99, 0, 0, 0, 8712, 100.138
88, 2, 99, 0, 0, 0, 8811, 100.125
89, 2, 99, 1, 0, 0, 8910, 100.112
90, 0, 0, 0, 0, 0, 8910, 99
91, 1, 99, 0, 0, 0, 9009, 99
92, 2, 99, 0, 0, 0, 9108, 99
93, 1, 99, 0, 0, 0, 9207, 99
94, 1, 99, 0, 0, 0, 9306, 99
95, 1, 99, 2, 0, 0, 9405, 99
96, 0, 110, 0, 0, 0, 9515, 99.1146
97, 1, 99, 0, 0, 0, 9614, 99.1134
98, 1, 99, 0, 0, 0, 9713, 99.1122
99, 1, 99, 0, 0, 0, 9812, 99.1111
100, 1, 99, 0, 0, 0, 9911, 99.11
101, 1, 99, 0, 0, 0, 10010, 99.1089
102, 1, 99, 2, 0, 0, 10109, 99.1078
103, 0, 110, 0, 0, 0, 10219, 99.2136
104, 1, 99, 0, 0, 0, 10318, 99.2115
105, 1, 99, 0, 0, 0, 10417, 99.2095
106, 1, 99, 2, 0, 0, 10516, 99.2075
107, 0, 110, 0, 0, 0, 10626, 99.3084
