cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 1, 0.99, 0, 0
2, 1, 99, 2, 1, 0.98901, 99, 49.5
3, 0, 110, 1, 1, 0.988021, 209, 69.6667
4, 0, 0, 0, 1, 0.987033, 209, 52.25
5, 1, 99, 2, 1, 0.986046, 308, 61.6
6, 0, 110, 0, 0, 0.98506, 418, 69.6667
7, 1, 99, 0, 1, 0.984075, 517, 73.8571
8, 1, 99, 2, 1, 0.983091, 616, 77
9, 0, 110, 1, 1, 0.982108, 726, 80.6667
10, 0, 0, 2, 1, 0.981126, 726, 72.6
11, 0, 0, 2, 1, 0.980144, 726, 66
12, 0, 110, 0, 1, 0.979164, 836, 69.6667
13, 2, 99, 1, 1, 0.978185, 935, 71.9231
14, 0, 110, 2, 1, 0.977207, 1045, 74.6429
15, 0, 110, 0, 1, 0.97623, 1155, 77
16, 1, 99, 2, 1, 0.975254, 1254, 78.375
17, 0, 110, 1, 1, 0.974278, 1364, 80.2353
18, 0, 110, 0, 1, 0.973304, 1474, 81.8889
19, 1, 99, 0, 1, 0.972331, 1573, 82.7895
20, 2, 99, 2, 1, 0.971358, 1672, 83.6
21, 0, 110, 0, 1, 0.970387, 1782, 84.8571
22, 2, 99, 0, 0, 0.969417, 1881, 85.5
23, 1, 99, 2, 1, 0.968447, 1980, 86.087
24, 0, 0, 2, 1, 0.967479, 1980, 82.5
25, 0, 0, 0, 1, 0.966511, 1980, 79.2
26, 1, 99, 0, 1, 0.965545, 2079, 79.9615
27, 2, 99, 2, 1, 0.964579, 2178, 80.6667
28, 0, 0, 1, 1, 0.963615, 2178, 77.7857
29, 0, 0, 2, 1, 0.962651, 2178, 75.1034
30, 0, 0, 2, 1, 0.961688, 2178, 72.6
31, 0, 110, 2, 1, 0.960727, 2288, 73.8065
32, 0, 110, 1, 1, 0.959766, 2398, 74.9375
33, 0, 0, 1, 1, 0.958806, 2398, 72.6667
34, 0, 0, 1, 1, 0.957847, 2398, 70.5294
35, 0, 0, 0, 1, 0.95689, 2398, 68.5143
36, 2, 99, 1, 1, 0.955933, 2497, 69.3611
37, 0, 110, 2, 1, 0.954977, 2607, 70.4595
38, 0, 110, 1, 1, 0.954022, 2717, 71.5
39, 0, 110, 0, 1, 0.953068, 2827, 72.4872
40, 1, 99, 0, 1, 0.952115, 2926, 73.15
41, 1, 99, 1, 1, 0.951163, 3025, 73.7805
42, 0, 0, 0, 1, 0.950211, 3025, 72.0238
43, 2, 99, 1, 1, 0.949261, 3124, 72.6512
44, 0, 110, 1, 1, 0.948312, 3234, 73.5
45, 0, 110, 0, 1, 0.947364, 3344, 74.3111
46, 1, 99, 0, 1, 0.946416, 3443, 74.8478
47, 2, 99, 0, 1, 0.94547, 3542, 75.3617
48, 1, 99, 2, 1, 0.944524, 3641, 75.8542
49, 0, 110, 2, 1, 0.94358, 3751, 76.551
50, 0, 110, 0, 1, 0.942636, 3861, 77.22
51, 2, 99, 0, 1, 0.941694, 3960, 77.6471
52, 1, 99, 2, 1, 0.940752, 4059, 78.0577
53, 0, 110, 0, 1, 0.939811, 4169, 78.6604
54, 1, 99, 0, 1, 0.938871, 4268, 79.037
55, 1, 99, 0, 1, 0.937932, 4367, 79.4
56, 2, 99, 0, 1, 0.936995, 4466, 79.75
57, 2, 99, 1, 1, 0.936058, 4565, 80.0877
58, 0, 110, 0, 1, 0.935121, 4675, 80.6034
59, 1, 99, 1, 1, 0.934186, 4774, 80.9153
60, 0, 0, 0, 1, 0.933252, 4774, 79.5667
61, 2, 99, 2, 1, 0.932319, 4873, 79.8852
62, 0, 0, 0, 1, 0.931387, 4873, 78.5968
63, 1, 99, 1, 1, 0.930455, 4972, 78.9206
64, 0, 0, 0, 1, 0.929525, 4972, 77.6875
65, 1, 99, 1, 1, 0.928595, 5071, 78.0154
66, 0, 0, 1, 1, 0.927667, 5071, 76.8333
67, 0, 110, 1, 1, 0.926739, 5181, 77.3284
68, 0, 0, 2, 1, 0.925812, 5181, 76.1912
69, 0, 0, 0, 1, 0.924886, 5181, 75.087
70, 2, 99, 1, 1, 0.923962, 5280, 75.4286
71, 0, 110, 0, 1, 0.923038, 5390, 75.9155
72, 1, 99, 0, 1, 0.922115, 5489, 76.2361
73, 1, 99, 2, 1, 0.921192, 5588, 76.5479
74, 0, 110, 0, 1, 0.920271, 5698, 77
75, 1, 99, 2, 1, 0.919351, 5797, 77.2933
76, 0, 110, 2, 1, 0.918432, 5907, 77.7237
77, 0, 110, 1, 1, 0.917513, 6017, 78.1429
78, 0, 0, 2, 1, 0.916596, 6017, 77.141
79, 0, 0, 2, 1, 0.915679, 6017, 76.1646
80, 0, 110, 2, 1, 0.914763, 6127, 76.5875
81, 0, 0, 0, 1, 0.913849, 6127, 75.642
82, 2, 99, 0, 1, 0.912935, 6226, 75.9268
83, 2, 99, 2, 1, 0.912022, 6325, 76.2048
84, 0, 0, 2, 1, 0.91111, 6325, 75.2976
85, 0, 110, 1, 1, 0.910199, 6435, 75.7059
86, 0, 0, 2, 1, 0.909288, 6435, 74.8256
87, 0, 110, 2, 1, 0.908379, 6545, 75.2299
88, 0, 0, 0, 1, 0.907471, 6545, 74.375
89, 2, 99, 2, 1, 0.906563, 6644, 74.6517
90, 0, 110, 1, 1, 0.905657, 6754, 75.0444
91, 0, 0, 1, 1, 0.904751, 6754, 74.2198
92, 0, 110, 0, 1, 0.903846, 6864, 74.6087
93, 1, 99, 1, 1, 0.902943, 6963, 74.871
94, 0, 0, 0, 1, 0.90204, 6963, 74.0745
95, 1, 99, 0, 0, 0.901138, 7062, 74.3368
96, 1, 99, 2, 1, 0.900236, 7161, 74.5938
97, 0, 110, 1, 1, 0.899336, 7271, 74.9588
98, 0, 110, 0, 1, 0.898437, 7381, 75.3163
