cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0, 0, 0
2, 2, 0, 2, 0, 0, 0, 0
3, 2, 1, 1, 0, 0, 1, 0.333333
4, 0, 0, 0, 0, 0, 1, 0.25
5, 0, 1, 0, 0, 0, 2, 0.4
6, 1, 2, 1, 0, 0, 4, 0.666667
7, 0, 0, 0, 0, 0, 4, 0.571429
8, 0, 1, 1, 0, 0, 5, 0.625
9, 1, 1, 1, 0, 0, 6, 0.666667
10, 0, 0, 0, 0, 0, 6, 0.6
11, 1, 2, 0, 0, 0, 8, 0.727273
12, 0, 1, 0, 0, 0, 9, 0.75
13, 0, 1, 0, 0, 0, 10, 0.769231
14, 1, 2, 1, 0, 0, 12, 0.857143
15, 0, 0, 0, 0, 0, 12, 0.8
16, 1, 2, 1, 0, 0, 14, 0.875
17, 1, 1, 2, 0, 0, 15, 0.882353
18, 2, 1, 2, 0, 0, 16, 0.888889
19, 0, 2, 0, 0, 0, 18, 0.947368
20, 1, 2, 0, 0, 0, 20, 1
21, 1, 2, 0, 0, 0, 22, 1.04762
22, 1, 2, 0, 0, 0, 24, 1.09091
23, 0, 1, 2, 0, 0, 25, 1.08696
24, 0, 2, 1, 0, 0, 27, 1.125
25, 0, 0, 0, 0, 0, 27, 1.08
26, 0, 1, 0, 0, 0, 28, 1.07692
27, 0, 1, 0, 0, 0, 29, 1.07407
28, 0, 1, 0, 0, 0, 30, 1.07143
29, 0, 1, 0, 0, 0, 31, 1.06897
30, 0, 1, 0, 0, 0, 32, 1.06667
31, 1, 2, 0, 0, 0, 34, 1.09677
32, 2, 0, 2, 0, 0, 34, 1.0625
33, 2, 1, 2, 0, 0, 35, 1.06061
34, 0, 2, 1, 0, 0, 37, 1.08824
35, 0, 0, 0, 0, 0, 37, 1.05714
36, 1, 2, 0, 0, 0, 39, 1.08333
37, 1, 2, 0, 0, 0, 41, 1.10811
38, 0, 1, 0, 0, 0, 42, 1.10526
39, 2, 0, 2, 0, 0, 42, 1.07692
40, 2, 1, 2, 0, 0, 43, 1.075
41, 0, 2, 0, 0, 0, 45, 1.09756
42, 2, 0, 2, 0, 0, 45, 1.07143
43, 2, 1, 2, 0, 0, 46, 1.06977
44, 2, 1, 1, 0, 0, 47, 1.06818
45, 2, 2, 1, 0, 0, 49, 1.08889
46, 2, 2, 1, 0, 0, 51, 1.1087
47, 2, 2, 1, 0, 0, 53, 1.12766
48, 2, 2, 1, 0, 0, 55, 1.14583
49, 0, 0, 0, 0, 0, 55, 1.12245
50, 2, 0, 2, 0, 0, 55, 1.1
51, 2, 1, 2, 0, 0, 56, 1.09804
52, 2, 1, 1, 0, 0, 57, 1.09615
53, 0, 0, 0, 0, 0, 57, 1.07547
54, 0, 1, 0, 0, 0, 58, 1.07407
55, 0, 1, 0, 0, 0, 59, 1.07273
56, 2, 0, 2, 0, 0, 59, 1.05357
57, 2, 1, 2, 0, 0, 60, 1.05263
58, 1, 0, 2, 0, 0, 60, 1.03448
59, 1, 0, 2, 0, 0, 60, 1.01695
60, 1, 0, 0, 0, 0, 60, 1
61, 0, 1, 0, 0, 0, 61, 1
62, 0, 1, 0, 0, 0, 62, 1
63, 1, 2, 2, 0, 0, 64, 1.01587
64, 0, 2, 1, 0, 0, 66, 1.03125
65, 1, 1, 2, 0, 0, 67, 1.03077
66, 0, 2, 0, 0, 0, 69, 1.04545
67, 2, 0, 1, 0, 0, 69, 1.02985
68, 2, 2, 1, 0, 0, 71, 1.04412
69, 1, 1, 2, 0, 0, 72, 1.04348
70, 1, 0, 0, 0, 0, 72, 1.02857
71, 2, 0, 2, 0, 0, 72, 1.01408
72, 2, 1, 1, 0, 0, 73, 1.01389
73, 2, 2, 1, 0, 0, 75, 1.0274
74, 2, 2, 1, 0, 0, 77, 1.04054
75, 2, 2, 1, 0, 0, 79, 1.05333
76, 2, 2, 1, 0, 0, 81, 1.06579
77, 0, 0, 0, 0, 0, 81, 1.05195
78, 2, 0, 2, 0, 0, 81, 1.03846
79, 2, 1, 1, 0, 0, 82, 1.03797
80, 1, 1, 1, 0, 0, 83, 1.0375
81, 1, 1, 2, 0, 0, 84, 1.03704
82, 1, 0, 0, 0, 0, 84, 1.02439
83, 0, 1, 0, 0, 0, 85, 1.0241
84, 0, 1, 0, 0, 0, 86, 1.02381
85, 2, 0, 2, 0, 0, 86, 1.01176
86, 2, 1, 1, 0, 0, 87, 1.01163
87, 0, 0, 0, 0, 0, 87, 1
88, 0, 1, 0, 0, 0, 88, 1
89, 1, 2, 2, 0, 0, 90, 1.01124
90, 0, 2, 1, 0, 0, 92, 1.02222
91, 0, 0, 0, 0, 0, 92, 1.01099
92, 2, 0, 2, 0, 0, 92, 1
93, 2, 1, 2, 0, 0, 93, 1
94, 1, 0, 0, 0, 0, 93, 0.989362
95, 0, 1, 0, 0, 0, 94, 0.989474
96, 2, 0, 0, 0, 0, 94, 0.979167
97, 2, 0, 2, 0, 0, 94, 0.969072
98, 2, 1, 1, 0, 0, 95, 0.969388
99, 0, 0, 0, 0, 0, 95, 0.959596
100, 0, 1, 0, 0, 0, 96, 0.96
101, 2, 0, 2, 0, 0, 96, 0.950495
102, 2, 1, 2, 0, 0, 97, 0.95098
103, 1, 0, 0, 0, 0, 97, 0.941748
104, 0, 1, 0, 0, 0, 98, 0.942308
105, 1, 2, 2, 0, 0, 100, 0.952381
106, 0, 2, 1, 0, 0, 102, 0.962264
107, 0, 0, 0, 0, 0, 102, 0.953271
108, 0, 1, 0, 0, 0, 103, 0.953704
109, 0, 1, 0, 0, 0, 104, 0.954128
110, 0, 1, 1, 0, 0, 105, 0.954545
111, 0, 0, 0, 0, 0, 105, 0.945946
112, 2, 0, 2, 0, 0, 105, 0.9375
113, 2, 1, 1, 0, 0, 106, 0.938053
114, 2, 2, 0, 0, 0, 108, 0.947368
115, 0, 1, 0, 0, 0, 109, 0.947826
116, 2, 0, 2, 0, 0, 109, 0.939655
117, 2, 1, 1, 0, 0, 110, 0.940171
118, 1, 1, 0, 0, 0, 111, 0.940678
119, 1, 2, 2, 0, 0, 113, 0.94958
120, 1, 0, 0, 0, 0, 113, 0.941667
121, 1, 2, 0, 0, 0, 115, 0.950413
122, 2, 0, 2, 0, 0, 115, 0.942623
123, 2, 1, 1, 0, 0, 116, 0.943089
124, 1, 1, 1, 0, 0, 117, 0.943548
125, 1, 1, 0, 0, 0, 118, 0.944
126, 2, 0, 1, 0, 0, 118, 0.936508
127, 2, 2, 2, 0, 0, 120, 0.944882
128, 0, 2, 0, 0, 0, 122, 0.953125
129, 0, 1, 2, 0, 0, 123, 0.953488
130, 2, 1, 1, 0, 0, 124, 0.953846
131, 0, 0, 0, 0, 0, 124, 0.946565
132, 1, 2, 0, 0, 0, 126, 0.954545
133, 0, 1, 1, 0, 0, 127, 0.954887
134, 2, 2, 2, 0, 0, 129, 0.962687
135, 1, 0, 0, 0, 0, 129, 0.955556
136, 0, 1, 0, 0, 0, 130, 0.955882
137, 1, 2, 2, 0, 0, 132, 0.963504
138, 0, 2, 0, 0, 0, 134, 0.971014
139, 2, 0, 2, 0, 0, 134, 0.964029
140, 2, 1, 0, 0, 0, 135, 0.964286
141, 1, 2, 0, 0, 0, 137, 0.971631
142, 0, 1, 1, 0, 0, 138, 0.971831
143, 2, 2, 1, 0, 0, 140, 0.979021
144, 1, 1, 0, 0, 0, 141, 0.979167
145, 1, 2, 0, 0, 0, 143, 0.986207
146, 0, 1, 2, 0, 0, 144, 0.986301
147, 2, 1, 2, 0, 0, 145, 0.986395
148, 2, 1, 1, 0, 0, 146, 0.986486
149, 2, 2, 1, 0, 0, 148, 0.993289
150, 0, 0, 0, 0, 0, 148, 0.986667
151, 1, 2, 0, 0, 0, 150, 0.993377
152, 1, 2, 0, 0, 0, 152, 1
153, 1, 2, 0, 0, 0, 154, 1.00654
154, 2, 0, 2, 0, 0, 154, 1
155, 2, 1, 1, 0, 0, 155, 1
156, 1, 1, 0, 0, 0, 156, 1
157, 2, 0, 2, 0, 0, 156, 0.993631
158, 2, 1, 1, 0, 0, 157, 0.993671
159, 2, 2, 0, 0, 0, 159, 1
160, 2, 0, 2, 0, 0, 159, 0.99375
161, 2, 1, 1, 0, 0, 160, 0.993789
162, 0, 0, 0, 0, 0, 160, 0.987654
163, 0, 1, 0, 0, 0, 161, 0.98773
164, 0, 1, 0, 0, 0, 162, 0.987805
165, 0, 1, 0, 0, 0, 163, 0.987879
166, 2, 0, 2, 0, 0, 163, 0.981928
167, 2, 1, 1, 0, 0, 164, 0.982036
168, 0, 0, 0, 0, 0, 164, 0.97619
169, 2, 0, 2, 0, 0, 164, 0.970414
170, 2, 1, 1, 0, 0, 165, 0.970588
171, 1, 1, 1, 0, 0, 166, 0.97076
172, 2, 2, 2, 0, 0, 168, 0.976744
173, 1, 0, 0, 0, 0, 168, 0.971098
174, 1, 2, 1, 0, 0, 170, 0.977011
175, 2, 2, 1, 0, 0, 172, 0.982857
176, 2, 2, 0, 0, 0, 174, 0.988636
177, 1, 2, 1, 0, 0, 176, 0.99435
178, 1, 1, 1, 0, 0, 177, 0.994382
179, 2, 2, 0, 0, 0, 179, 1
180, 0, 1, 0, 0, 0, 180, 1
181, 0, 1, 1, 0, 0, 181, 1
182, 1, 1, 1, 0, 0, 182, 1
183, 1, 1, 2, 0, 0, 183, 1
184, 2, 1, 1, 0, 0, 184, 1
185, 0, 0, 0, 0, 0, 184, 0.994595
186, 2, 0, 2, 0, 0, 184, 0.989247
187, 2, 1, 0, 0, 0, 185, 0.989305
188, 2, 0, 2, 0, 0, 185, 0.984043
189, 2, 1, 1, 0, 0, 186, 0.984127
190, 2, 2, 1, 0, 0, 188, 0.989474
191, 2, 2, 1, 0, 0, 190, 0.994764
192, 0, 0, 0, 0, 0, 190, 0.989583
193, 1, 2, 0, 0, 0, 192, 0.994819
194, 0, 1, 1, 0, 0, 193, 0.994845
195, 1, 1, 0, 0, 0, 194, 0.994872
196, 0, 1, 0, 0, 0, 195, 0.994898
197, 2, 0, 2, 0, 0, 195, 0.989848
198, 2, 1, 1, 0, 0, 196, 0.989899
199, 2, 2, 1, 0, 0, 198, 0.994975
200, 2, 2, 1, 0, 0, 200, 1
201, 0, 0, 0, 0, 0, 200, 0.995025
202, 2, 0, 1, 0, 0, 200, 0.990099
203, 2, 2, 2, 0, 0, 202, 0.995074
204, 2, 1, 1, 0, 0, 203, 0.995098
205, 2, 2, 1, 0, 0, 205, 1
206, 1, 1, 1, 0, 0, 206, 1
207, 1, 1, 1, 0, 0, 207, 1
208, 1, 1, 1, 0, 0, 208, 1
209, 2, 2, 0, 0, 0, 210, 1.00478
210, 0, 1, 1, 0, 0, 211, 1.00476
211, 1, 1, 1, 0, 0, 212, 1.00474
212, 1, 1, 0, 0, 0, 213, 1.00472
213, 0, 1, 1, 0, 0, 214, 1.00469
214, 1, 1, 0, 0, 0, 215, 1.00467
215, 2, 0, 2, 0, 0, 215, 1
216, 2, 1, 1, 0, 0, 216, 1
217, 0, 0, 0, 0, 0, 216, 0.995392
218, 0, 1, 0, 0, 0, 217, 0.995413
219, 1, 2, 0, 0, 0, 219, 1
220, 1, 2, 2, 0, 0, 221, 1.00455
221, 2, 1, 1, 0, 0, 222, 1.00452
222, 0, 0, 0, 0, 0, 222, 1
223, 2, 0, 1, 0, 0, 222, 0.995516
224, 2, 2, 1, 0, 0, 224, 1
225, 0, 0, 0, 0, 0, 224, 0.995556
226, 1, 2, 1, 0, 0, 226, 1
227, 1, 1, 1, 0, 0, 227, 1
228, 0, 0, 0, 0, 0, 227, 0.995614
229, 2, 0, 1, 0, 0, 227, 0.991266
230, 2, 2, 0, 0, 0, 229, 0.995652
231, 1, 2, 2, 0, 0, 231, 1
